,Grade,Video Uploads,Subscribers,Video views
0,A++ ,82757,18752951,20869786591
1,A++ ,12661,61196302,47548839843
2,A++ ,373,19238251,9793305082
3,A++ ,27323,31180559,22675948293
4,A++ ,36756,32852346,26273668433
5,A++ ,30243,17149705,16618094724
6,A++ ,8500,11373567,23898730764
7,A++ ,100147,12149206,17202609850
8,A++ ,1140,16082927,24518098041
9,A++ ,74607,2841811,2591830307
10,A+ ,2085,33492951,8587520379
11,A+ ,822,39409726,19291034467
12,A+ ,150,7662886,2540099931
13,A+ ,50,18824912,8727783225
14,A+ ,16119,15899764,10989179147
15,A+ ,49239,11569723,9388600275
16,A+ ,4778,15830098,11102158475
18,A+ ,3060,23603062,5860444053
19,A+ ,24287,17687229,14022189654
20,A+ ,48,11593509,2029279311
21,A+ ,3403,23440427,11666909155
22,A+ ,19358,11347420,9572788450
23,A+ ,1833,2137907,245437560
24,A+ ,186194,712562,349096736
25,A+ ,5076,14469618,6585569190
26,A+ ,277,16924523,3437613314
27,A+ ,555,15836366,16395683234
28,A+ ,92250,2902714,2754482753
29,A+ ,230,459906,224608044
30,A+ ,79497,3102246,2867901827
31,A+ ,91,5992452,1576070985
32,A+ ,127,4746069,2250065105
33,A+ ,710,7504480,2135402141
34,A+ ,848,1120620,291002673
35,A+ ,23504,12466776,8354699608
36,A+ ,206,14011180,555853544
37,A+ ,47805,10878372,7614312491
38,A+ ,2201,18777612,11920370065
39,A+ ,431,8816598,7498069721
40,A+ ,65757,6270681,7373478009
41,A+ ,102,6154173,3232954352
42,A+ ,14643,4391875,5542203386
43,A+ ,2943,7385239,6480263464
44,A+ ,15672,5604245,3317197927
45,A+ ,30,2869857,493923518
46,A+ ,5704,14903053,7823927253
47,A+ ,2517,16813027,7609346952
48,A+ ,2204,15862389,6738087055
49,A+ ,169,7546139,3919961629
50,A+ ,3437,10055513,5384101851
51,A ,19447,10796918,4220899885
52,A ,2321,10384600,4589770470
53,A ,10714,10490425,6239740374
54,A ,149,8781935,4473966039
55,A ,488,8983362,2492724832
56,A ,136,3052780,849887197
57,A ,317,14925769,9454820754
58,A ,111,15720338,10355362290
59,A ,1905,8368289,5172463467
60,A ,348,5283050,2499031601
61,A ,12942,12918410,10657097331
62,A ,1010,10538694,5761524025
63,A ,122,33961184,14521211040
64,A ,2958,13215636,6215499269
65,A ,137,5375332,1251331678
66,A ,3751,5621106,4908451376
67,A ,6466,10846501,4795061785
68,A ,1778,9177850,4124067978
69,A ,250,3832164,1427683110
70,A ,19471,6456081,3686308830
71,A ,2253,1971613,2559979914
72,A ,1169,7910214,8437768629
73,A ,543,8900406,2058205665
74,A ,568,16638993,16519985673
75,A ,909,9994112,3155585139
76,A ,31201,3310120,2450108456
77,A ,9852,13820875,8651382337
78,A ,254,19641153,15212759916
79,A ,393,3286612,1045924447
80,A ,487,5184068,518924050
81,A ,2747,20186240,17362242300
82,A ,3274,15711312,11614803892
83,A ,1276,25069826,4455604361
84,A ,47,13312085,9570884138
85,A ,3564,13419831,7280286813
86,A ,612,4546683,1950903340
87,A ,2712,6421915,5406199624
88,A ,481,10813220,4362878210
89,A ,50,649081,242240716
90,A ,959,4791790,1080083584
91,A ,14744,5940275,3871453495
92,A ,492,394,254252482
93,A ,1547,16616187,3132608077
94,A ,3,3108447,353018727
95,A ,487,18703101,3564747380
96,A ,1528,2794475,1171653272
97,A ,2069,733903,401477421
98,A ,53,6658776,3518844458
99,A ,5980,13426454,13503732638
100,A ,215,3665615,934322434
101,A ,5868,3798574,2073246834
102,A ,979,1259842,888928894
103,A ,25709,2963630,2474453105
104,A ,1487,1810809,1068359427
105,A ,716,6832523,3881188263
106,A ,5608,8808619,4772954260
107,A ,4138,7878536,2898110156
109,A ,1698,5532599,2608650285
110,A ,220,3409426,1101115153
111,A ,62,7203358,6727576995
112,A ,94,10753521,5191219894
113,A ,14307,6133550,3379150048
114,A ,2874,9213304,9298343650
116,A ,2218,9174889,8504219475
117,A ,357,595068,338703141
118,A ,253,6579270,2260525646
119,A ,179,11604439,2947790223
120,A ,223,16271451,5183283439
121,A ,142,19689891,14533614800
122,A ,445,11419859,10528195079
123,A ,1626,5015503,5418686430
124,A ,25,5032200,735698294
125,A ,141,17225892,4666424253
126,A ,9066,27765423,13403860667
127,A ,1253,7552928,10014750723
128,A ,21,2851437,2034588299
129,A ,66,647110,129490054
130,A ,645,3564584,3232333195
131,A ,884,3463566,3661895184
132,A ,29,1100382,651668495
133,A ,143,4679372,341081506
134,A ,514,548850,104953122
135,A ,605,9684269,5704760485
136,A ,83,5768549,1308569692
137,A ,69,9254263,5295016523
138,A ,19293,6207095,8118958980
139,A ,801,1319834,1219988066
140,A ,6370,5873167,2130708836
141,A ,683,4181344,2171187145
144,A ,186,3318535,1665788162
145,A ,5635,8539250,5738075498
146,A ,28663,6498020,3366976772
147,A ,1458,22331643,7760362155
148,A ,447,4533982,1881201276
149,A ,80,26650488,11317532576
150,A ,8324,6591994,2590857091
151,A ,11237,3495070,5091658907
153,A ,336,2435635,1105398427
